x,discriminacao,referencia,valor,data_atualizacao
,I. Poder Executivo,base_2016,1169441.6,2023-01-15T07:56:40.544527
,I. Poder Executivo,limite_2017,1253641.4,2023-01-15T07:56:40.544527
,I. Poder Executivo,limite_2018,1290623.8,2023-01-15T07:56:40.544527
,I. Poder Executivo,limite_2019,1339022.2,2023-01-15T07:56:40.544527
,I. Poder Executivo,limite_2020,1396734.1,2023-01-15T07:56:40.544527
,I. Poder Executivo,limite_2021,1459866.4,2023-01-15T07:56:40.544527
,I. Poder Executivo,limite_2022,1608480.8,2023-01-15T07:56:40.544527
,I. Poder Executivo,limite_2023,1867413.5,2023-01-15T07:56:40.544527
,II. Poder Legislativo,base_2016,10549.7,2023-01-15T07:56:40.544527
,II. Poder Legislativo,limite_2017,11309.3,2023-01-15T07:56:40.544527
,II. Poder Legislativo,limite_2018,11642.9,2023-01-15T07:56:40.544527
,II. Poder Legislativo,limite_2019,12079.5,2023-01-15T07:56:40.544527
,II. Poder Legislativo,limite_2020,12600.1,2023-01-15T07:56:40.544527
,II. Poder Legislativo,limite_2021,13169.7,2023-01-15T07:56:40.544527
,II. Poder Legislativo,limite_2022,14510.3,2023-01-15T07:56:40.544527
,II. Poder Legislativo,limite_2023,15538.1,2023-01-15T07:56:40.544527
CD,Câmara dos Deputados,base_2016,5067.2,2023-01-15T07:56:40.544527
CD,Câmara dos Deputados,limite_2017,5432.1,2023-01-15T07:56:40.544527
CD,Câmara dos Deputados,limite_2018,5592.3,2023-01-15T07:56:40.544527
CD,Câmara dos Deputados,limite_2019,5802,2023-01-15T07:56:40.544527
CD,Câmara dos Deputados,limite_2020,6052.1,2023-01-15T07:56:40.544527
CD,Câmara dos Deputados,limite_2021,6325.7,2023-01-15T07:56:40.544527
CD,Câmara dos Deputados,limite_2022,6969.6,2023-01-15T07:56:40.544527
CD,Câmara dos Deputados,limite_2023,7463.3,2023-01-15T07:56:40.544527
SF,Senado Federal,base_2016,3729.9,2023-01-15T07:56:40.544527
SF,Senado Federal,limite_2017,3998.5,2023-01-15T07:56:40.544527
SF,Senado Federal,limite_2018,4116.4,2023-01-15T07:56:40.544527
SF,Senado Federal,limite_2019,4270.8,2023-01-15T07:56:40.544527
SF,Senado Federal,limite_2020,4454.9,2023-01-15T07:56:40.544527
SF,Senado Federal,limite_2021,4656.2,2023-01-15T07:56:40.544527
SF,Senado Federal,limite_2022,5130.2,2023-01-15T07:56:40.544527
SF,Senado Federal,limite_2023,5493.6,2023-01-15T07:56:40.544527
